tconst,cinemeta_title,cinemeta_directors,cinemeta_writers
tt0030913,Der unm�gliche Herr Pitt,Harry Piel,Georg M�hlen-Schulte (novel); Harald Bratt (manuscript); Reinhold Mei�ner; Georg M�hlen-Schulte; Harry Piel (manuscript)
tt0031018,Across the Plains,Spencer Gordon Bennet,Robert Emmett Tansey (screenplay)
tt0031277,It Was a Gay Ballnight,Carl Froelich,Jean Victor (story); Georg Wittuhn (story); G�za von Cziffra (screenplay); Frank Thie� (dialogue); G�za von Cziffra (novel)
tt0031337,Woman at the Wheel,Paul Martin,\N
tt0031440,Honeymoon in Bali,Edward H. Griffith,Grace Sartwell Mason; Katharine Brush; Virginia Van Upp
tt0031585,Law of the North,Jacques Feyder,\N
tt0031633,Mazô,Hiroshi Inagaki,Kaitarō Hasegawa
tt0031826,The Private Lives of Elizabeth and Essex,Michael Curtiz,Norman Reilly Raine (screen play); �neas MacKenzie (screen play); Maxwell Anderson (from the stage play by)
tt0031889,Saga of Death Valley,Joseph Kane,Karen DeWolf (screenplay); Stuart Anthony (screenplay); Karen DeWolf (story)
tt0031914,Seven Brothers,Wilho Ilmari,Aleksis Kivi (novel); Mika Waltari
tt0031925,Silver on the Sage,Lesley Selander,\N
tt0032456,The Farmer's Daughter,James P. Hogan,\N
tt0032699,Let George Do It!,Marcel Varnel,\N
tt0033155,Those Were the Days!,Theodore Reed,\N
tt0033766,It Started with Eve,Henry Koster,\N
tt0034086,Reaching for the Sun,William A. Wellman,W.L. River; Wessel Smitter (novel)
tt0034164,Secret Evidence,William Nigh,\N
tt0034249,They Met in Moscow,Ivan Pyryev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg; Darrell Ware
tt0034593,China Girl,Henry Hathaway,Ben Hecht; Darryl F. Zanuck
tt0034739,Flight Lieutenant,Sidney Salkow,\N
tt0034853,Highways by Night,Peter Godfrey,Clarence Budington Kelland (story); Lynn Root (screenplay); Frank Fenton (screenplay)
tt0034941,Kid Glove Killer,Fred Zinnemann,Allen Rivkin; John C. Higgins
tt0035089,Mr. Celebrity,William Beaudine,\N
tt0035111,Nai Duniya,Abdul Rashid Kardar,\N
tt0035117,Il nemico,Guglielmo Giannini,Guglielmo Giannini (screenplay); Guglielmo Giannini (story)
tt0035151,Once Upon a Honeymoon,Leo McCarey,Sheridan Gibney; Leo McCarey
tt0035462,Tower of Terror,Lawrence Huntington,John Argyle; John Reinhardt (story)
tt0035591,Between Heaven and Earth,Harald Braun,\N
tt0035726,The Chance of a Lifetime,William Castle,Jack Boyle (characters); Paul Yawitz
tt0036017,Hostages,Frank Tuttle,\N
tt0036177,Muhomatsu no issho,Hiroshi Inagaki,Mansaku Itami; Shunsaku Iwashita (story)
tt0036347,She's for Me,Reginald Le Borg,Henry Blankfort (screenplay); Henry Blankfort (story)
tt0036515,Watch on the Rhine,Herman Shumlin; Hal Mohr,Dashiell Hammett; Lillian Hellman
tt0036580,"Adam, Eve and the Devil",Alfredo B. Crevenna,\N
tt0036595,Am Ende der Welt,Gustav Ucicky,\N
