tconst,omdb_title,omdb_directors,omdb_writers
tt0051211,Times of Joy and Sorrow,Keisuke Kinoshita,Keisuke Kinoshita
tt0051407,Le bellissime gambe di Sabrina,Camillo Mastrocinque,Edoardo Anton; Marcello Fondato; Vittorio Metz
tt0051490,Les copains du dimanche,Henri Aisner,Henri Aisner; Gaston Bounoure; Lilo Dammert
tt0051492,Count Five and Die,Victor Vicas,David Pursall; Jack Seddon; Barry Wynne
tt0051755,I Bury the Living,Albert Band,Louis Garfinkle
tt0051851,The Law Is the Law,Christian-Jaque,Jacques Emmanuel; Jean-Charles Tacchella; Christian-Jaque
tt0051857,Letters from China,Joris Ivens,Joris Ivens
tt0051899,Man of the West,Anthony Mann,Reginald Rose; Will C. Brown
tt0051971,Münchhausen in Afrika,Werner Jacobs,Johannes Hendrich; Max Nosseck; Hans Rameau
tt0052042,Il padrone delle ferriere,Anton Giulio Majano,Anton Giulio Majano; Georges Ohnet
tt0052605,Battle Flame,R.G. Springsteen,Lester A. Sansom; Elwood Ullman
tt0052652,Broth of a Boy,George Pollock,Blanaid Irvine; Patrick Kirwan; Hugh Leonard
tt0052812,Floods of Fear,Charles Crichton,Charles Crichton; Vivienne Knight; John Hawkins
tt0052918,Imitation of Life,Douglas Sirk,Eleanore Griffin; Allan Scott; Fannie Hurst
tt0053188,The Price of Silence,Montgomery Tully,Maurice J. Wilson; Laurence Meynell
tt0053435,Was eine Frau im Frühling träumt,Erik Ode; Arthur Maria Rabenalt,Curth Flatow; Eckart Hachfeld
tt0053562,91:an Karlsson muckar (tror han),Åke Grönberg,Per Lennart Ekström; Rudolf Petersson
tt0053797,Die Entscheidung des Dr. Ahrendt,Frank Vogel,Hasso Grabner; Frank Vogel
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso; Gino De Santis; Alberto Bevilacqua
tt0054332,Spartakiáda,Martin Fric; Ján Kadár,Martin Fric
tt0054363,Sólo para hombres,Fernando Fernán Gómez,Fernando Fernán Gómez; Miguel Mihura
tt0054463,Watch Your Stern,Gerald Thomas,Alan Hackney; Vivian Cox; Earle Couttie
tt0054492,De zaak M.P.,Bert Haanstra,Bert Haanstra; Jef van der Heyden
tt0054660,La banda de los ocho,Tulio Demicheli,Pedro Mario Herrero; Florentino Soria
tt0054703,I briganti italiani,Mario Camerini,Ghigo De Chiara; Diego Fabbri; Mario Monti
tt0054910,Gunga Jumna,Nitin Bose,Wajahat Mirza; Dilip Kumar
tt0054918,The George Raft Story,Joseph M. Newman,Crane Wilbur; Daniel Mainwaring
tt0055383,Romanoff and Juliet,Peter Ustinov,William Shakespeare; Peter Ustinov
tt0055944,Dziewczyna z dobrego domu,Antoni Bohdziewicz,Mieczyslaw Piotrowski
tt0056015,Gentlemen Prefer Nature Girls,Doris Wishman,Doris Wishman
tt0056085,How the West Was Won,John Ford; Henry Hathaway; George Marshall,James R. Webb; John Gay
tt0056110,It's Only Money,Frank Tashlin,John Fenton Murray
