tconst,omdb_title,omdb_directors,omdb_writers
tt0154241,Les bleus du ciel,Henri Decoin,Henri Decoin
tt0155086,Rajani,Jyotish Bannerjee,N/A
tt0155401,Yeh Such Hai,Atma Ram,N/A
tt0155685,Du grabuge chez les veuves,Jacques Poitrenaud,Jean-Pierre Ferrière; Denys de La Patellière; Albert Simonin
tt0155994,A Quilt of Many Cultures: South India,Shyam Benegal,N/A
tt0156432,The Court Dancer: Raj Narkati,Modhu Bose,Modhu Bose; Manmatha Ray; J.B.H. Wadia
tt0156702,Khwab Ki Duniya,Vijay Bhatt,N/A
tt0156704,Khyber Falcon,Modhu Bose,N/A
tt0157479,The Conquest of Canaan,George Irving,Anthony Paul Kelly (scenario); Booth Tarkington (novel)
tt0157581,Enga Veetu Pillai,Tapi Chanakya,N/A
tt0157607,Extravagance,Burton L. King,Wallace Clifton; Aaron Hoffman
tt0157880,Kamale Kamini,Phani Burma; Nirmal Goswami,N/A
tt0158457,Afsana,B.R. Chopra,I.S. Johar
tt0158462,Amore mio,Raffaello Matarazzo,Raffaello Matarazzo
tt0158464,Anath Ashram,Hemchandra Chunder,Kidar Nath Sharma
tt0158736,Mademoiselle Strip-tease,Pierre Foucaud,Louis Duchesne; Pierre Foucaud; Alice Colanis
tt0159101,Out of the Cold,Aleksandr Buravskiy,Aleksandr Buravskiy; Alex Kustanovich
tt0159434,The Faking of the President,Alan Abel; Jeanne Abel,Alan Abel; Jeanne Abel; Murray Hurwitz
tt0159495,Jakko,Fritz Peter Buch,Fritz Peter Buch; Hein Meiswinkel; Alfred Weidenmann
tt0160596,With or Without You,Michael Winterbottom,John Forte
tt0160830,Le sergent X,Vladimir Strizhevsky,Ivan Loukach; Vladimir Strizhevsky; A. Loukine
tt0161215,¡A volar joven!,Miguel M. Delgado,Paul Colline; Miguel M. Delgado; Jaime Salvador
tt0161378,Carnevalesca,Amleto Palermi,Lucio D'Ambra
tt0161927,Praias de Portugal,N/A,N/A
tt0163131,The Other Girl,Percy Winter,George DuBois Proctor; Augustus Thomas
tt0163207,Seiukusha,N/A,N/A
tt0163623,Fata Morgana,Elefterie Voiculescu,Florian Grecea; Ion Grecea; Elefterie Voiculescu
tt0163629,Las fisgonas de Paso Ancho,Alfredo Catania,Samuel Rovinsky
tt0164064,Jigoku no mushi,Hiroshi Inagaki,N/A
tt0164857,Ruslan i Lyudmila,Oleg Grigorovich,Mikhail Glinka
tt0165100,Le bar du téléphone,Claude Barrois,Claude Néron
tt0165612,Her Three Bachelors,Maclean Rogers,A.P. Dearsley
tt0165655,Brillantina Rock,Michele Massimo Tarantini,Alessandro Capone; Pino Pellegrino; Michele Massimo Tarantini
tt0165753,Emily's Ghost,Colin Finbow,Colin Finbow
tt0165846,Kill the Man,Tom Booker; Jon Kean,Tom Booker; Jon Kean
tt0166151,La grande ora: Concilio ecumenico vaticano II,Antonio Petrucci,Diego Fabbri; Antonio Petrucci
tt0166233,Kad mrtvi zapjevaju,Krsto Papic,Mate Matisic; Krsto Papic
tt0166647,Hledá se táta,Frantisek Daniel,Frantisek Daniel; Alois Jirácek; Bohumil Kouba
tt0166873,Watch Beverly,Arthur Maude,N.W. Baring-Pemberton; Cyril Campion; John Cousins
tt0166948,The Adventures of the American Rabbit,Nobutaka Nishizawa; Fred Wolf,Stewart Moskowitz; Norm Lenzer
tt0167290,Misty,Toshiharu Ikeda,N/A
tt0168205,Danger in Paradise,Philip Marcus,Franco Columbu; Christopher Holmes; Bobb Hopkins
tt0168581,"The Chosen Prince, or the Friendship of David and Jonathan",William V. Mong,Lyman I. Henry
tt0168584,The Cigarette Girl,William Parke,Philip Bartholomae (scenario)
tt0168631,Innocents,Gregory Marquette,Gregory Marquette
tt0168722,Dùm ztraceného stestí,Josef Rovenský,Bohumil Zahradník-Brodský; Martin Fric; Josef Rovenský
tt0169004,Mazlícek,Martin Fric,Martin Fric; Hugo Haas
tt0169062,"My Dog, Buddy",Ray Kellogg,Ray Kellogg
tt0169307,Cheyenne Trails,Robert J. Horner,Robert J. Horner; Bert Ames
tt0169975,Grófi szérün,Zsuzsa Antala; István Nagy,N/A
