tconst,directors,writers
tt0091540,nm0644145,nm0135339;nm0515491;nm0644145;nm0157019
tt0091729,nm0603826,nm0603826
tt0092051,nm0151835,nm0151835;nm0948189
tt0092088,nm0747263,nm0747263
tt0092513,nm0001060,nm0799562
tt0092574,nm0348803,nm0337372;nm0901663
tt0092682,nm0755032,\N
tt0092906,nm0002340,nm0619547
tt0092946,nm0637518,nm0789057;nm0112316
tt0092964,nm0669713,nm1274746;nm0669713
tt0093002,nm0899458,nm0369916;nm0617427;nm0898445
tt0093183,nm0050998;nm0447842,nm0050998;nm0184071;nm5232807
tt0093291,nm0458722,nm0458722;nm0669604
tt0093321,nm0418469,nm0418469
tt0093336,nm0333705,nm0258995;nm0296356
tt0093418,nm0199722,nm0131661;nm0089237;nm0395924
tt0093778,nm0088692,nm0918518;nm0738083
tt0093804,nm0864775,nm2260417
tt0093810,nm0783744,nm0430975;nm0519906;nm0783744
tt0094023,nm0742034,nm0420997
tt0094818,nm0355660,nm6515306;nm6515307
tt0094822,nm0596571,nm0246503;nm0596571
tt0095120,nm0105350,nm0047818;nm0105350
tt0095363,nm0696612,nm1080402
tt0095423,nm0091824,nm0183325
tt0095435,nm0675955,\N
tt0095493,nm0230888,nm0139536
